L3-USDC	Layer3	USDC
LA-USDC	Lagrange	USDC
LAYER-USDC	Solayer	USDC
LCX-USDC	LCX	USDC
LDO-USDC	Lido DAO Token	USDC
LINK-USDC	Chainlink	USDC
LOKA-USDC	League of Kingdoms Arena	USDC
LPT-USDC	Livepeer	USDC
LQTY-USDC	Liquity	USDC
LRC-USDC	Loopring	USDC
LRDS-USDC	Blocklords	USDC
LSETH-USDC	Liquid Staked ETH	USDC
LTC-USDC	Litecoin	USDC
MAGIC-USDC	MAGIC	USDC
MAMO-USDC	Mamo	USDC
MANA-USDC	Decentraland	USDC
MANTLE-USDC	Mantle	USDC
MASK-USDC	Mask Network	USDC
MATH-USDC	MATH	USDC
MATIC-USDC	Polygon	USDC
MDT-USDC	Measurable Data Token	USDC
ME-USDC	Magic Eden	USDC
METIS-USDC	Metis	USDC
MINA-USDC	Mina	USDC
MKR-USDC	Maker	USDC
MLN-USDC	Enzyme	USDC
MNDE-USDC	Marinade	USDC
MOG-USDC	Mog Coin	USDC
MOODENG-USDC	Moo Deng	USDC
MORPHO-USDC	Morpho	USDC
MPLX-USDC	Metaplex	USDC
MSOL-USDC	Marinade Staked SOL	USDC
MUSE-USDC	Muse	USDC
NCT-USDC	PolySwarm	USDC
NEAR-USDC	NEAR Protocol	USDC
NEON-USDC	Neon EVM	USDC
NEWT-USDC	Newton	USDC
NKN-USDC	NKN	USDC
NMR-USDC	Numeraire	USDC
OCEAN-USDC	Ocean Protocol	USDC
OGN-USDC	Origin Token	USDC
OMNI-USDC	Omni Network	USDC
ONDO-USDC	Ondo Finance	USDC
OP-USDC	Optimism	USDC
ORCA-USDC	Orca	USDC
OSMO-USDC	Osmosis	USDC
OXT-USDC	Orchid	USDC
PAX-USDC	Paxos Standard	USDC
PAXG-USDC	PAX Gold	USDC
PENDLE-USDC	Pendle	USDC
PENGU-USDC	Pudgy Penguins	USDC
PEPE-USDC	Pepe	USDC
PERP-USDC	Perpetual Protocol	USDC
PIRATE-USDC	Pirate Nation Token	USDC
PLU-USDC	Pluton	USDC
PNG-USDC	Pangolin	USDC
PNUT-USDC	Peanut the Squirrel	USDC
POL-USDC	Polygon Ecosystem Token	USDC
POLS-USDC	Polkastarter	USDC
POND-USDC	Marlin	USDC
POPCAT-USDC	Popcat (SOL)	USDC
POWR-USDC	Powerledger	USDC
PRCL-USDC	Parcl	USDC
PRIME-USDC	Echelon Prime	USDC
PRO-USDC	Propy	USDC
PROMPT-USDC	Wayfinder	USDC
PROVE-USDC	Succinct	USDC
PUMP-USDC	Pump.fun	USDC
PUNDIX-USDC	Pundi X (New)	USDC
PYR-USDC	Vulcan Forged PYR	USDC
PYTH-USDC	Pyth Network	USDC
QI-USDC	BENQI	USDC
QNT-USDC	Quant	USDC
RAD-USDC	Radworks	USDC
RARE-USDC	SuperRare	USDC
RARI-USDC	Rarible	USDC
RED-USDC	Redstone	USDC
RENDER-USDC	Render	USDC
REQ-USDC	Request	USDC
REZ-USDC	Renzo	USDC
RLC-USDC	iExec RLC	USDC
RONIN-USDC	Ronin	USDC
ROSE-USDC	Oasis Network	USDC
RPL-USDC	Rocket Pool	USDC
RSC-USDC	ResearchCoin	USDC
RSR-USDC	Reserve Rights	USDC
S-USDC	Sonic	USDC
SAFE-USDC	Safe	USDC
SAND-USDC	The Sandbox	USDC
SAPIEN-USDC	Sapien	USDC
SD-USDC	Stader	USDC
SEAM-USDC	Seamless	USDC
SEI-USDC	Sei	USDC
SHDW-USDC	Shadow Token	USDC
SHIB-USDC	SHIBA INU	USDC
SHPING-USDC	SHPING	USDC
SKL-USDC	SKALE	USDC
SKY-USDC	Sky	USDC
SNX-USDC	Synthetix Network Token	USDC
SOL-USDC	Solana	USDC
SPA-USDC	Sperax	USDC
SPELL-USDC	Spell Token	USDC
SPK-USDC	Spark	USDC
SPX-USDC	SPX6900	USDC
SQD-USDC	Subsquid	USDC
STG-USDC	Stargate Finance	USDC
STORJ-USDC	Storj	USDC
STRK-USDC	Starknet Token	USDC
STX-USDC	Stacks	USDC
SUI-USDC	SUI	USDC
SUKU-USDC	SUKU	USDC
SUPER-USDC	SuperVerse	USDC
SUSHI-USDC	SushiSwap	USDC
SWELL-USDC	SWELL	USDC
SWFTC-USDC	SwftCoin	USDC
SXT-USDC	Space and Time	USDC
SYRUP-USDC	Maple Finance	USDC
T-USDC	Threshold	USDC
TAO-USDC	Bittensor	USDC
TIA-USDC	Celestia	USDC
TIME-USDC	Chrono.tech	USDC
TNSR-USDC	Tensor	USDC
TOSHI-USDC	Toshi	USDC
TOWNS-USDC	Towns Protocol	USDC
TRAC-USDC	OriginTrail	USDC
TRB-USDC	Tellor	USDC
TREE-USDC	Treehouse	USDC
TRU-USDC	TrueFi	USDC
TRUMP-USDC	OFFICIAL TRUMP	USDC
TURBO-USDC	Turbo	USDC
UMA-USDC	UMA	USDC
UNI-USDC	Uniswap	USDC
USD1-USDC	World Liberty Financial USD	USDC
USDS-USDC	USDS	USDC
USDT-USDC	Tether	USDC
USELESS-USDC	Useless Coin	USDC
VARA-USDC	Vara	USDC
VELO-USDC	Velodrome Finance	USDC
VET-USDC	vechain	USDC
VOXEL-USDC	Voxies	USDC
VTHO-USDC	VeThor Token	USDC
VVV-USDC	Venice Token	USDC
W-USDC	Wormhole	USDC
WAXL-USDC	Wrapped Axelar	USDC
WCFG-USDC	Wrapped Centrifuge	USDC
WCT-USDC	WalletConnect Token	USDC
WELL-USDC	Moonwell	USDC
WIF-USDC	dogwifhat	USDC
WLD-USDC	Worldcoin	USDC
WLFI-USDC	World Liberty Financial	USDC
XCN-USDC	Onyxcoin	USDC
XLM-USDC	Stellar Lumens	USDC
XRP-USDC	XRP	USDC
XTZ-USDC	Tezos	USDC
XYO-USDC	XYO	USDC
YFI-USDC	yearn.finance	USDC
ZEC-USDC	Zcash	USDC
ZEN-USDC	Horizen	USDC
ZETA-USDC	Zetachain	USDC
ZETACHAIN-USDC	Zetachain	USDC
ZK-USDC	ZKsync	USDC
ZORA-USDC	Zora	USDC
ZRO-USDC	LayerZero	USDC
ZRX-USDC	0x Protocol	USDC
